"sceneID","sensor","acquisitionDate","upperLeftCornerLatitude","upperLeftCornerLongitude","upperRightCornerLatitude","upperRightCornerLongitude","lowerLeftCornerLatitude","lowerLeftCornerLongitude","lowerRightCornerLatitude","lowerRightCornerLongitude","sceneCenterLatitude","sceneCenterLongitude","satelliteNumber","DATUM","ELEVATION_SOURCE","ELLIPSOID","EPHEMERIS_TYPE","FALSE_EASTING","FALSE_NORTHING","GRID_CELL_SIZE_REFLECTIVE","MAP_PROJECTION_L1","MAP_PROJECTION_L0RA","ORIENTATION"
"LC80400372014129LGN00","OLI_TIRS",2014,34.2278,-117.961,33.8413,-115.951,32.499,-118.415,32.1126,-116.444,33.1771,"-117.192","","","","","","","","","","",""
"LC80900902014127LGN00","OLI_TIRS",2014,-42.1183,146.373,-42.5372,148.66,-43.821,145.759,-44.2495,148.11,-43.185,"147.225","","","","","","","","","","",""
"LC80900892014127LGN00","OLI_TIRS",2014,-40.6948,146.864,-41.1083,149.102,-42.4001,146.273,-42.8227,148.57,-41.7597,"147.702","","","","","","","","","","",""
"LC80900882014127LGN00","OLI_TIRS",2014,-39.2695,147.339,-39.6779,149.53,-40.9772,146.768,-41.3943,149.015,-40.3326,"148.163","","","","","","","","","","",""
"LC80400372014113LGN00","OLI_TIRS",2014,34.2277,-117.957,33.8411,-115.946,32.499,-118.411,32.1125,-116.44,33.1769,"-117.187","","","","","","","","","","",""
"LC80900902014111LGN00","OLI_TIRS",2014,-42.1183,146.372,-42.5373,148.66,-43.8209,145.759,-44.2496,148.11,-43.185,"147.225","","","","","","","","","","",""
"LC80900892014111LGN00","OLI_TIRS",2014,-40.6949,146.863,-41.1085,149.102,-42.4001,146.272,-42.8228,148.57,-41.7597,"147.702","","","","","","","","","","",""
"LC80900882014111LGN00","OLI_TIRS",2014,-39.2699,147.338,-39.6784,149.53,-40.9775,146.768,-41.3947,149.014,-40.333,"148.162","","","","","","","","","","",""
"LC80410372014104LGN00","OLI_TIRS",2014,34.228,-119.494,33.8413,-117.483,32.4992,-119.948,32.1127,-117.976,33.1771,"-118.724","","","","","","","","","","",""
"LC80400372014097LGN00","OLI_TIRS",2014,34.2276,-117.958,33.841,-115.948,32.4987,-118.412,32.1123,-116.441,33.1768,"-117.189","","","","","","","","","","",""
