"","nUsers","pixels"
"1",1,1512
"2",1,1606
"3",1,1159
"4",1,1808
"5",1,1215
"6",1,4872
"7",1,975
"8",1,1442
"9",1,2294
"10",1,1136
"11",1,1104
"12",1,1435
"13",1,1690
"14",2,1103
"15",2,893
"16",2,1115
"17",2,913
"18",2,1455
"19",2,810
"20",2,1033
"21",2,1090
"22",2,863
"23",2,826
"24",2,978
"25",2,1093
"26",2,927
"27",2,1251
"28",2,887
"29",2,1485
"30",2,839
"31",2,1091
"32",2,1155
"33",2,839
"34",2,850
"35",2,1048
"36",2,1246
"37",2,1052
"38",2,832
"39",2,1156
"40",2,726
"41",2,887
"42",2,915
"43",2,794
"44",2,791
"45",2,930
"46",2,998
"47",2,940
"48",2,1670
"49",2,864
"50",2,1131
"51",2,1177
"52",2,969
"53",2,971
"54",2,1187
"55",2,1245
"56",2,1112
"57",2,758
"58",2,934
"59",2,927
"60",2,783
"61",2,755
"62",2,819
"63",2,952
"64",2,912
"65",2,1340
"66",2,2021
"67",2,1084
"68",2,1066
"69",2,1357
"70",2,1546
"71",2,828
"72",2,785
"73",2,707
"74",2,675
"75",2,779
"76",2,872
"77",2,1081
"78",2,867
"79",2,807
"80",2,936
"81",2,1104
"82",2,808
"83",2,855
"84",2,1141
"85",2,1265
"86",2,719
"87",2,877
"88",2,862
"89",2,870
"90",2,890
"91",2,1101
"92",3,808
"93",3,965
"94",3,796
"95",3,1114
"96",3,734
"97",3,881
"98",3,854
"99",3,735
"100",3,736
"101",3,860
"102",3,959
"103",3,853
"104",3,729
"105",3,884
"106",3,653
"107",3,767
"108",3,726
"109",3,692
"110",3,691
"111",3,778
"112",3,836
"113",3,778
"114",3,1087
"115",3,715
"116",3,888
"117",3,849
"118",3,786
"119",3,795
"120",3,906
"121",3,963
"122",3,892
"123",3,675
"124",3,808
"125",3,751
"126",3,692
"127",3,652
"128",3,715
"129",3,817
"130",3,803
"131",3,1015
"132",3,1082
"133",3,849
"134",3,816
"135",3,968
"136",3,1078
"137",3,715
"138",3,681
"139",3,631
"140",3,608
"141",3,694
"142",3,754
"143",3,854
"144",3,728
"145",3,705
"146",3,798
"147",3,882
"148",3,674
"149",3,668
"150",3,797
"151",3,857
"152",3,645
"153",3,745
"154",3,744
"155",3,722
"156",3,751
"157",3,872
"158",3,874
"159",3,735
"160",3,949
"161",3,655
"162",3,781
"163",3,752
"164",3,680
"165",3,695
"166",3,788
"167",3,857
"168",3,809
"169",3,1217
"170",3,767
"171",3,944
"172",3,904
"173",3,784
"174",3,803
"175",3,948
"176",3,1037
"177",3,882
"178",3,669
"179",3,802
"180",3,729
"181",3,685
"182",3,639
"183",3,733
"184",3,829
"185",3,842
"186",3,1046
"187",3,1073
"188",3,855
"189",3,865
"190",3,1027
"191",3,1172
"192",3,735
"193",3,677
"194",3,637
"195",3,606
"196",3,702
"197",3,762
"198",3,896
"199",3,732
"200",3,694
"201",3,834
"202",3,955
"203",3,691
"204",3,689
"205",3,893
"206",3,962
"207",3,620
"208",3,739
"209",3,754
"210",3,745
"211",3,765
"212",3,933
"213",3,807
"214",3,1032
"215",3,707
"216",3,855
"217",3,853
"218",3,756
"219",3,775
"220",3,887
"221",3,930
"222",3,812
"223",3,630
"224",3,747
"225",3,704
"226",3,684
"227",3,672
"228",3,727
"229",3,760
"230",3,714
"231",3,871
"232",3,904
"233",3,786
"234",3,777
"235",3,913
"236",3,985
"237",3,651
"238",3,638
"239",3,602
"240",3,598
"241",3,682
"242",3,699
"243",3,758
"244",3,706
"245",3,695
"246",3,769
"247",3,801
"248",3,655
"249",3,663
"250",3,817
"251",3,832
"252",3,613
"253",3,695
"254",3,715
"255",3,702
"256",3,723
"257",3,868
"258",3,888
"259",3,689
"260",3,822
"261",3,788
"262",3,751
"263",3,711
"264",3,788
"265",3,843
"266",3,818
"267",3,1071
"268",3,1111
"269",3,930
"270",3,943
"271",3,1127
"272",3,1184
"273",3,743
"274",3,715
"275",3,679
"276",3,662
"277",3,754
"278",3,807
"279",3,892
"280",3,801
"281",3,778
"282",3,889
"283",3,940
"284",3,751
"285",3,771
"286",3,985
"287",3,960
"288",3,704
"289",3,821
"290",3,820
"291",3,812
"292",3,833
"293",3,983
"294",3,728
"295",3,880
"296",3,888
"297",3,757
"298",3,746
"299",3,792
"300",3,916
"301",3,678
"302",3,633
"303",3,610
"304",3,571
"305",3,643
"306",3,708
"307",3,797
"308",3,697
"309",3,655
"310",3,721
"311",3,831
"312",3,642
"313",3,660
"314",3,726
"315",3,794
"316",3,614
"317",3,666
"318",3,709
"319",3,664
"320",3,685
"321",3,762
"322",3,787
"323",3,750
"324",3,690
"325",3,656
"326",3,752
"327",3,834
"328",3,1020
"329",3,845
"330",3,796
"331",3,900
"332",3,1044
"333",3,798
"334",3,822
"335",3,1081
"336",3,1155
"337",3,714
"338",3,868
"339",3,844
"340",3,847
"341",3,870
"342",3,1054
"343",3,686
"344",3,624
"345",3,598
"346",3,665
"347",3,754
"348",3,590
"349",3,591
"350",3,686
"351",3,714
"352",3,553
"353",3,630
"354",3,666
"355",3,635
"356",3,639
"357",3,740
"358",3,692
"359",3,677
"360",3,830
"361",3,912
"362",3,632
"363",3,729
"364",3,747
"365",3,717
"366",3,726
"367",3,838
"368",3,604
"369",3,727
"370",3,715
"371",3,745
"372",3,738
"373",3,942
"374",3,646
"375",3,650
"376",3,761
"377",3,756
"378",4,778
"379",4,683
"380",4,800
"381",4,612
"382",4,707
"383",4,658
"384",4,634
"385",4,645
"386",4,721
"387",4,773
"388",4,729
"389",4,949
"390",4,669
"391",4,801
"392",4,763
"393",4,701
"394",4,724
"395",4,825
"396",4,875
"397",4,781
"398",4,617
"399",4,725
"400",4,661
"401",4,634
"402",4,602
"403",4,679
"404",4,760
"405",4,731
"406",4,871
"407",4,866
"408",4,729
"409",4,733
"410",4,855
"411",4,962
"412",4,657
"413",4,618
"414",4,585
"415",4,567
"416",4,650
"417",4,693
"418",4,749
"419",4,652
"420",4,642
"421",4,738
"422",4,806
"423",4,614
"424",4,607
"425",4,728
"426",4,762
"427",4,582
"428",4,675
"429",4,683
"430",4,669
"431",4,693
"432",4,798
"433",4,709
"434",4,842
"435",4,633
"436",4,749
"437",4,706
"438",4,671
"439",4,683
"440",4,749
"441",4,802
"442",4,717
"443",4,578
"444",4,671
"445",4,619
"446",4,625
"447",4,608
"448",4,654
"449",4,687
"450",4,650
"451",4,755
"452",4,717
"453",4,686
"454",4,683
"455",4,770
"456",4,825
"457",4,597
"458",4,572
"459",4,558
"460",4,551
"461",4,623
"462",4,640
"463",4,663
"464",4,636
"465",4,630
"466",4,689
"467",4,720
"468",4,583
"469",4,582
"470",4,678
"471",4,694
"472",4,562
"473",4,624
"474",4,646
"475",4,631
"476",4,656
"477",4,755
"478",4,763
"479",4,613
"480",4,712
"481",4,666
"482",4,663
"483",4,637
"484",4,694
"485",4,742
"486",4,709
"487",4,872
"488",4,835
"489",4,771
"490",4,781
"491",4,893
"492",4,941
"493",4,640
"494",4,619
"495",4,604
"496",4,597
"497",4,670
"498",4,693
"499",4,752
"500",4,695
"501",4,694
"502",4,774
"503",4,797
"504",4,640
"505",4,647
"506",4,756
"507",4,771
"508",4,633
"509",4,702
"510",4,714
"511",4,706
"512",4,730
"513",4,829
"514",4,669
"515",4,787
"516",4,734
"517",4,686
"518",4,644
"519",4,704
"520",4,798
"521",4,610
"522",4,576
"523",4,556
"524",4,532
"525",4,594
"526",4,650
"527",4,700
"528",4,624
"529",4,604
"530",4,648
"531",4,741
"532",4,580
"533",4,566
"534",4,627
"535",4,688
"536",4,564
"537",4,616
"538",4,644
"539",4,597
"540",4,621
"541",4,695
"542",4,709
"543",4,676
"544",4,632
"545",4,603
"546",4,691
"547",4,750
"548",4,840
"549",4,722
"550",4,697
"551",4,786
"552",4,863
"553",4,671
"554",4,661
"555",4,787
"556",4,847
"557",4,636
"558",4,741
"559",4,734
"560",4,717
"561",4,744
"562",4,861
"563",4,622
"564",4,562
"565",4,558
"566",4,620
"567",4,678
"568",4,543
"569",4,527
"570",4,607
"571",4,632
"572",4,519
"573",4,588
"574",4,607
"575",4,575
"576",4,586
"577",4,670
"578",4,611
"579",4,607
"580",4,703
"581",4,752
"582",4,581
"583",4,650
"584",4,664
"585",4,648
"586",4,659
"587",4,743
"588",4,536
"589",4,623
"590",4,622
"591",4,621
"592",4,622
"593",4,735
"594",4,587
"595",4,594
"596",4,682
"597",4,668
"598",4,720
"599",4,865
"600",4,638
"601",4,758
"602",4,718
"603",4,659
"604",4,683
"605",4,762
"606",4,815
"607",4,723
"608",4,584
"609",4,681
"610",4,623
"611",4,622
"612",4,599
"613",4,662
"614",4,694
"615",4,650
"616",4,777
"617",4,772
"618",4,671
"619",4,692
"620",4,785
"621",4,868
"622",4,605
"623",4,571
"624",4,553
"625",4,546
"626",4,618
"627",4,633
"628",4,677
"629",4,632
"630",4,619
"631",4,700
"632",4,737
"633",4,575
"634",4,579
"635",4,691
"636",4,707
"637",4,553
"638",4,625
"639",4,645
"640",4,630
"641",4,651
"642",4,757
"643",4,778
"644",4,632
"645",4,744
"646",4,681
"647",4,671
"648",4,627
"649",4,715
"650",4,764
"651",4,743
"652",4,906
"653",4,892
"654",4,770
"655",4,797
"656",4,920
